BMG_ID,Occupancy,Household Ownership,Landlord Type,Green Energy,Eco Type,Gas Supply,Smart Meter,Meter Reading Frequency,Primary Heating,EV,Property Type,Number of bedrooms,Main Heating System,Water Heating System,Appliances,Number of Appliances
956635837,1.0,Rent,Housing association,Unknown,No,Mains,No,Electricity bills,Gas boiler,No,Terraced,4.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Gas hob, Gas oven, Fridge, Standalone freezer, Toaster, Kettle, Microwave, Dehumidifier, Bath, Power shower",12
956635856,2.0,Own,Unknown,No,No,Mains,Both,Asked to by provider,Gas boiler,No,Detached,6.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Combined washing machine and tumble dryer, Dishwasher, Electric hob, Electric oven, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, Handheld devices",12
956636137,1.0,Own,Unknown,No,No,No,No,Regularly,Oil,No,Detached,5.0,"Programmer/timer, Thermostatic radiator valves","Gas, oil or solid fuel, Solar heating","Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Fridge-freezer, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Dehumidifier",15
956636146,2.0,Mortgage,Unknown,Unknown,Unknown,Mains,Smart electricity meter,Asked to by provider,Gas boiler,No,Semi detached,3.0,Single house thermostat,Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Electric oven, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Vacuum cleaner, Bath, Hair drier",13
956636233,2.0,Own,Unknown,Unknown,No,Mains,No,Asked to by provider,Gas boiler,No,Detached,4.0,"Programmer/timer, Thermostatic radiator valves","Gas, oil or solid fuel","Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Vacuum cleaner, Bath, Power shower, Hair drier",16
956636453,2.0,Rent,Housing association,No,No,No,No,Electricity bills,Oil,No,Semi detached,3.0,Programmer/timer,"Electric immersion heater, Gas or oil direct heating","Standalone tumble dryer, Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, Vacuum cleaner, Power shower",11
956636458,1.0,Rent,Private landlord,No,No,Mains,No,Asked to by provider,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Single house thermostat",Electric immersion heater,"Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Cooling fans, Vacuum cleaner, Bath, Power shower",13
956636683,2.0,Rent,Housing association,Unknown,Unknown,Mains,No,Asked to by provider,Gas boiler,Unknown,Semi detached,2.0,Programmer/timer,Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Gas hob, Gas oven, Fridge, Toaster, Kettle, Microwave, Games console, PC/laptop, Cooling fans, Vacuum cleaner, Bath, Shower",14
956636702,1.0,Own,Unknown,No,No,Mains,Smart electricity meter,Regularly,Gas boiler,No,Terraced,7.0,Programmer/timer,Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge, Standalone freezer, Toaster, Kettle, Microwave, Bath, Power shower",13
956636723,2.0,Own,Unknown,No,No,LPG,No,Regularly,Oil,No,Detached,7.0,"Programmer/timer, Room thermostats, Thermostatic radiator valves",Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Electric hob, Electric oven, Gas hob, Fridge-freezer, Standalone freezer, Toaster, Microwave, Games console, Vacuum cleaner",12
956636749,1.0,Own,Unknown,No,No,No,No,Asked to by provider,Oil,No,Detached,4.0,"Programmer/timer, Thermostatic radiator valves",Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Electric hob, Electric oven, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), PC/laptop, Plug in electric heater, Vacuum cleaner, Bath, Shower",17
956636762,1.0,Own,Unknown,No,No,Mains,No,Electricity bills,Gas boiler,No,Semi detached,3.0,Thermostatic radiator valves,Gas or oil direct heating,"Standalone washing machine, Electric hob, Electric oven, Fridge, Standalone freezer, Toaster, Kettle, Microwave, PC/laptop, Vacuum cleaner, Bath, Shower",12
956636838,1.0,Mortgage,Unknown,No,Unknown,Mains,Both,Asked to by provider,Gas boiler,No,Terraced,3.0,Programmer/timer,Gas or oil direct heating,"Standalone washing machine, Electric oven, Gas hob, Fridge-freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, PC/laptop, Plug in electric heater, Vacuum cleaner, Bath, Shower, Hair drier",15
956636867,2.0,Own,Unknown,No,No,Mains,No,Do not read,Other,No,Detached,3.0,"Programmer/timer, Single house thermostat",Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric hob, Electric oven, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, Vacuum cleaner, Bath, Shower",15
