bmg_id,missing_days_2017,longest_missing_streak_2017,missing_days_2018,longest_missing_streak_2018
a4956639523,0,0,98,98
a4956662563,0,0,98,98
A1956630979,0,0,0,0
A2956630747,0,0,0,0
A2956638444,0,0,20,20
A4956615664,5,5,98,98
G4956622986,365,365,266,266
A3956639476,365,365,364,364
A4956610881,0,0,98,98
a3956626084,10,10,98,98
A1956659294,0,0,0,0
A3956634798,0,0,98,98
A3956645785,108,108,328,328
A4956619147,49,49,98,98
A4956620389,7,7,98,98
I3956629016,365,365,266,266
A4956660136,160,160,364,364
C3956637154,365,365,265,265
I3956620191,365,365,266,266
I3956663070,365,365,266,266
A1956619750,64,64,364,364
A1956638201,106,106,364,364
A2956618535,10,10,364,364
E4956632216,365,365,266,266
G3956645785,365,365,247,247
I3956638079,365,365,266,266
b1956610992,0,0,285,285
A2956630991,173,173,82,82
A4956614146,0,0,98,98
E4956621078,365,365,266,266
A1956640676,0,0,0,0
A1956650976,365,365,155,155
A2956642373,0,0,0,0
E4956626720,365,365,266,266
G3956614400,365,365,363,255
G4956641702,365,365,266,266
I3956626084,365,365,266,266
