,weekly,monthly,quarterly,yearly,mape,rmse
151,3,3,1,3,0.664865124632738,0.81539261992781
152,3,3,1,5,0.6565440846867999,0.8102740799796079
153,3,3,1,7,0.6096429724033732,0.7807963706392168
154,3,3,1,10,0.653799566360268,0.8085787323200309
155,3,3,3,1,0.7056812724936673,0.8400483750913796
156,3,3,3,3,0.6408050467493175,0.8005029960901567
157,3,3,3,5,0.6353775395629787,0.7971057267157091
158,3,3,3,7,0.6058188160734183,0.7783436362387877
159,3,3,3,10,0.6469500017626186,0.8043320220920082
160,3,3,5,1,0.744635147172364,0.862922445630176
161,3,3,5,3,0.6784075041453416,0.8236549666852871
162,3,3,5,5,0.6655517915108028,0.8158135764442773
163,3,3,5,7,0.6317568718598153,0.7948313480605903
164,3,3,5,10,0.6696006645702275,0.8182913078911614
165,3,3,7,1,0.7189044948266233,0.8478823590726625
166,3,3,7,3,0.6574939736715065,0.8108600210094875
167,3,3,7,5,0.649123524025488,0.8056820241419613
168,3,3,7,7,0.6314064499415285,0.7946108795766192
169,3,3,7,10,0.6539886687056685,0.8086956588888483
170,3,3,10,1,0.6914087844724759,0.8315099424976684
171,3,3,10,3,0.6397004847271219,0.7998127810476161
172,3,3,10,5,0.6323947600704737,0.795232519500098
173,3,3,10,7,0.6019080813564338,0.7758273528024349
174,3,3,10,10,0.6350213399145008,0.7968822622662025
175,3,5,1,1,0.7192921058445398,0.8481109042127332
176,3,5,1,3,0.653945706158118,0.8086690955873842
177,3,5,1,5,0.6468771432626871,0.8042867295080076
178,3,5,1,7,0.5955470451654772,0.7717169462733582
179,3,5,1,10,0.6410746269757388,0.800671360157049
180,3,5,3,1,0.6911622079777621,0.8313616589534076
181,3,5,3,3,0.6305190670542565,0.794052307505152
182,3,5,3,5,0.624430239063129,0.7902089844231898
183,3,5,3,7,0.5959692359346487,0.7719904377222873
184,3,5,3,10,0.631015055233394,0.7943645606605282
185,3,5,5,1,0.7354343566618191,0.8575746945087752
186,3,5,5,3,0.6674236683367315,0.8169600163635498
187,3,5,5,5,0.66344562108764,0.8145217130854401
188,3,5,5,7,0.6277616460362084,0.7923141081895541
189,3,5,5,10,0.6646633614956032,0.815268889076238
190,3,5,7,1,0.7198273166946796,0.84842637670848
