ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-16,0.6790657509484709,7.997092489610803,9.17055289016959,0.6788248365420383,0.67930921733278,-0.007152270455339444,-0.0077898348761928846,-0.006458125934592624,-0.0013043375801939413,-0.0015631301581990422,-0.0010570316357871312,-0.005847932875145503,-0.006418219314366837,-0.005232700990463943,0.0,0.0,0.0,8.541032908274275
2018-08-17,0.6790612941892121,7.975721331187528,9.175858979106152,0.6788192432751827,0.6793078725370194,-0.007123591693481254,-0.007752316807946005,-0.006451550846911067,-0.0013238410452200632,-0.0015669055003227307,-0.0010781499776656301,-0.0057997506482611915,-0.00636234361475737,-0.005184063196705526,0.0,0.0,0.0,8.54535790354282
2018-08-18,0.6790568374299535,8.549334707530338,9.964417792154483,0.6788116156741769,0.6793075495457517,-0.003825481417499965,-0.004417510442950096,-0.003202678486205521,0.0019106633265025565,0.0016638180473587522,0.002164362823203777,-0.005736144744002521,-0.00629033716278419,-0.005118261072074221,0.0,0.0,0.0,9.18753412546422
2018-08-19,0.6790523806706947,8.813356115273406,10.371823229120144,0.6788041217450613,0.6793076076989538,-0.002307692444197551,-0.0029202068907844586,-0.0016532877892448095,0.003349221750342907,0.003101785931199309,0.0035835949265175227,-0.005656914194540457,-0.006214525416309406,-0.005057782110622996,0.0,0.0,0.0,9.523959692115262
2018-08-20,0.6790479239114361,8.2601840670164,9.602891538768944,0.678795210015497,0.679306816856997,-0.005394582447602266,-0.006004698548242292,-0.004750626432964579,0.00016757829471155587,-9.486376065061303e-05,0.00041918971073624,-0.005562160742313822,-0.0061231678359239365,-0.004968491452951012,0.0,0.0,0.0,8.865811145878824
2018-08-21,0.6790434671521774,7.995321578164359,9.142636738263015,0.6787847441562251,0.6793030137992065,-0.007301590770914762,-0.007865012004884368,-0.006659174895281849,-0.0018493042287713935,-0.0020857089923844983,-0.0016057809370567948,-0.005452286542143369,-0.006021344428426447,-0.0048513596458286705,0.0,0.0,0.0,8.510542704125312
2018-08-22,0.6790390103929187,8.128440792088478,9.390241386438246,0.6787779670865435,0.6793019224733365,-0.006277965816955907,-0.006890540139074437,-0.005641491093331949,-0.000949980517380671,-0.0011815522574886751,-0.0007123117408191847,-0.005327985299575237,-0.005889307626839565,-0.004729633549479832,0.0,0.0,0.0,8.695590155411436
2018-08-23,0.67903455363366,8.093971220804871,9.334877911278863,0.6787714009570108,0.6793015531755231,-0.006494564712042628,-0.007132907400270438,-0.005837946542940598,-0.0013043375801925472,-0.0015631301581973582,-0.0010570316357854939,-0.005190227131850081,-0.005757611355286459,-0.00458613575986823,0.0,0.0,0.0,8.654630283173422
2018-08-24,0.6790300968744013,8.122888864679878,9.322430848673992,0.678764979253742,0.6793009459944307,-0.006364078623003964,-0.007015793149008091,-0.005708778991561653,-0.0013238410452223685,-0.0015669055003252118,-0.0010781499776678024,-0.0050402375777815955,-0.005608802758339719,-0.004433917090501085,0.0,0.0,0.0,8.677925220480876
2018-08-25,0.6790256401151427,8.699488824266139,10.18114863000972,0.6787593159368812,0.6793002073677774,-0.002968807983545413,-0.0035954060596960396,-0.0023307981555385905,0.0019106633265051874,0.0016638180473612931,0.002164362823206505,-0.0048794713100506005,-0.005454405551385384,-0.0042899544390912975,0.0,0.0,0.0,9.367411716333496
2018-08-26,0.679021183355884,9.000621612257559,10.677870613043739,0.6787517570274217,0.679298837775577,-0.0013603594647688011,-0.0019898926838096756,-0.0007498773263477335,0.0033492217503419217,0.003101785931198587,0.003583594926516472,-0.004709581215110723,-0.005299128317883795,-0.004124194960855773,0.0,0.0,0.0,9.742593157890251
2018-08-27,0.6790167265966253,8.447384277659896,9.841147428785332,0.6787447004378695,0.6792965420109981,-0.004364805304919718,-0.004984495770795552,-0.0037349699684744945,0.00016757829470881384,-9.48637606533051e-05,0.0004191897107334541,-0.004532383599628532,-0.0051230327977259535,-0.003949963572607155,0.0,0.0,0.0,9.066160532714417
2018-08-28,0.6790122698373665,8.135726948186306,9.381319307522324,0.6787379810419898,0.6792973729761563,-0.006199124585046437,-0.006829199991778228,-0.0055603265646990765,-0.0018493042287714271,-0.002085708992384452,-0.0016057809370568124,-0.0043498203562750085,-0.004943714242643634,-0.003766231675985218,0.0,0.0,0.0,8.705312373063451
2018-08-29,0.6790078130781079,8.284785831687559,9.605026245441715,0.6787300626670519,0.6792974453795846,-0.005113899491694681,-0.005774214103119786,-0.0044867853390219686,-0.0009499805173801134,-0.0011815522574881725,-0.0007123117408186809,-0.004163918974314568,-0.004759605759394041,-0.003575762893352339,0.0,0.0,0.0,8.913096025411463
2018-08-30,0.6790033563188492,8.310663186468652,9.610772029589192,0.6787201462094928,0.6792965038965323,-0.005281088891241725,-0.0059387830477671206,-0.004644505521186958,-0.0013043375801933422,-0.0015631301581983186,-0.0010570316357864278,-0.003976751311048383,-0.004573277213544448,-0.0033930129111564068,0.0,0.0,0.0,8.879296619815984
2018-08-31,0.6789988995595906,8.313191491725123,9.620765586138981,0.6787109829616632,0.6792958296202058,-0.005114233093666224,-0.005760473236488287,-0.00441791803509473,-0.0013238410452210542,-0.0015669055003237969,-0.0010781499776665636,-0.0037903920484451707,-0.004387450866653303,-0.0032225062171539758,0.0,0.0,0.0,8.911267217276622
